Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Devices","No","","80972","Ongoing","MEDLINE INDUSTRIES INC","3 Lakes Dr","","Northfield","IL","	60093-2753","United States","Voluntary: Firm initiated","Letter","United States, Taiwan, Chile","Z-0088-2019","Class II","Unna-Z: Unna Boot Compression Wrap with Zinc Oxide and Calamine, Item Numbers:  a) NONUNNA3 and b) NONUNNA4    Product is packaged in a foil pouch, which is inserted in a box carton.  There are 12 cartons in each case.","113,302 units","Firm received sporadic reports of discoloration on certain lots of the product, which has been identified as common mold.","08/30/2018","10/06/2018","","10/17/2018","Lot numbers:  a) NONUNNA3: 70112, 70485, 70602, 80637, 80663, and 80719.  b) NONUNNA4: 70182, 70593, 80638, 80644, 80660, 80709 and 80712."
"Devices","No","","80993","Ongoing","CooperSurgical, Inc.","95 Corporate Dr","","Trumbull","CT","	06611-1350","United States","Voluntary: Firm initiated","Letter","The products were distributed to the following US states:  AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, and WY.    The products were distributed to the following foreign countries:  Canada, Columbia, Czech Republic, Germany, Hong Kong, Israel, Italy, Japan, Malaysia, Mexico, Netherlands, New Zealand, Russian Federation, Singapore, Slovenia, South Korea, Spain, Switzerland, UAE, and UK.","Z-0098-2019","Class II","Colpo-Pneumo Occluder, Part CPO-6","32538","The seal of the sterile pouch may be compromised, thereby increasing the risk of infection.","09/04/2018","10/11/2018","","10/17/2018","Lots 244131, 244132, 244670, 244671, 244887, 244888, 244889, 244890, 245228, 245325, 245326, 245327, 245613, 245614, 245615, 245976, 245977, 245978, 245979, 246810, 246811, 247262, 247608, 24 7609, 247610, & 248112"
"Devices","No","","80998","Ongoing","Agfa Healthcare NV","Septestraat 27","","Mortsel","","	","Belgium","Voluntary: Firm initiated","E-Mail","US distribution to states of:  CA, FL, IN, LA, MN, PA, SC, TX, VA, and Puerto Rico and internationally to: Canada.","Z-0101-2019","Class II","Enterprise Imaging Desktops    Enterprise Imaging Desktops (Radiology Suite/Cardiology Suite) when deployed as a departmental Picture Archiving and Communications System (PACS) provides an interface for the acquisition, display, digital processing, annotation, review, printing, storage and distribution of multimodality medical images, reports and demographic information for diagnostic purposes within the system and across computer networks.","17","Adding an additional comparison study to the Clinical Side Bar in the Enterprise Imaging Diagnostics Desktop, can result in a change of the sort order of the studies in the Clinical Side Bar. The thumbnail images of the studies are no longer chronologically sorted with the most recent study at the top.","08/03/2018","10/11/2018","","10/17/2018","Versions 8.0.0, 8.0.0 SP1 & 8.0.0 SP2., 8.0.1, 8.0.1 SP1, 8.0.1 SP2, 8.0.1 SP3, 8.0.1 SP4, 8.0.1 SP5, 8.0.1 SP6., 8.1, 8.1 SP1, 8.1 SP2."
"Devices","No","11/06/2018","80999","Ongoing","Sterilmed, Inc.","5010 Cheshire Pkwy N Ste 2","","Plymouth","MN","	55446-4101","United States","Voluntary: Firm initiated","Letter","U.S. Nationwide distribution in the states of  CA, CO, MN, and WA.","Z-0090-2019","Class II","Reprocessed Agilis Steerable Introducer:  indicated for introducing various cardiovascular catheters into the heart.    (a) small curl (16.8mm curve type/71 cm length), Product Code STJ408309;    (b) medium curl (22.4 mm curve type/71 cm length), Product Code STJ408310;    (c) large curl (50 mm curve type/71 cm length), Product Code STJ408324  ","218 units","Reprocessed Agilis Steerable Introducers may not meet endotoxin requirements per product specification for biological residues determined by LAL testing.","09/17/2018","10/09/2018","","10/17/2018","All lots with expiration dates prior to 2019-06-08 of the following:  (a) Product Code STJ408309, GTIN 10888551044912   (b) Product Code STJ408310, GTIN 10888551044929  (c) Product Code STJ408324, GTIN 10888551044950"
"Devices","No","","81008","Terminated","Incisive Surgical Inc","14405 21st Ave N Ste 130","","Plymouth","MN","	55447-4638","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Israel","Z-0078-2019","Class II","INSORB SUBCUTICULAR SKIN STAPLER, REF 2030","1200 units","Possible compromise of the sterile barrier integrity","08/29/2018","10/05/2018","03/18/2019","10/17/2018","UDI 10867516000101  Lot Number 182801"
"Food","No","","81015","Terminated","Sarap Asian Fusion","12042 West St","","Garden Grove","CA","	92840-3702","United States","Voluntary: Firm initiated","Press Release","Online to customers in AE, AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, GU, HI, IL, IN, JK, KS, KY, LA, MA, MD, MI, MN, MO, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV, & WY.","F-0023-2019","Class II","Miso Milo Chocolate (cookies);  A Sarap Asian Fusion Product;  Net Wt. 70 G/Cookie;    Contains: Flour, eggs, Baking Soda, Baking Powder, Milk Powder, White Sugar, Brown Sugar, Salt, Butter, Miso, Milo cacao, vanilla extract, milk chocolate.    MFG at 12042 West St. Garden Grove, CA 92840","unknown","Undeclared wheat and soy lecithin","09/12/2018","10/10/2018","12/12/2018","10/17/2018","not yet provided"
"Food","No","","81015","Terminated","Sarap Asian Fusion","12042 West St","","Garden Grove","CA","	92840-3702","United States","Voluntary: Firm initiated","Press Release","Online to customers in AE, AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, GU, HI, IL, IN, JK, KS, KY, LA, MA, MD, MI, MN, MO, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV, & WY.","F-0024-2019","Class II","Black Sesame White Chocolate (cookies);  A Sarap Asian Fusion Product;  Net WT. 65 G/Cookie;    Contains: Flour, eggs, Baking Soda, Baking Powder, Milk Powder, White Sugar, Brown Sugar, Salt, Butter, Black Sesame, Vanilla extract, white chocolate.    MFG at 12042 West St. Garden Grove, CA 92840","unknown","Undeclared wheat, soy lecithin, and milk","09/12/2018","10/10/2018","12/12/2018","10/17/2018","not yet provided"
"Food","No","","81015","Terminated","Sarap Asian Fusion","12042 West St","","Garden Grove","CA","	92840-3702","United States","Voluntary: Firm initiated","Press Release","Online to customers in AE, AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, GU, HI, IL, IN, JK, KS, KY, LA, MA, MD, MI, MN, MO, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV, & WY.","F-0025-2019","Class II","Matcha Chocolate (cookies);  A Sarap Asian Fusion Product;  NET WT. 70 G/Cookie;    Contains: Flour, eggs, Baking Soda, Baking Powder, Milk Powder, White Sugar, Brown Sugar, Salt, Butter, Matcha, Vanilla extract, milk chocolate.    MFG at 12042 West St. Garden Grove, CA 92840","","Undeclared wheat and soy lecithin","09/12/2018","10/10/2018","12/12/2018","10/17/2018","not yet provided"
"Food","No","","81015","Terminated","Sarap Asian Fusion","12042 West St","","Garden Grove","CA","	92840-3702","United States","Voluntary: Firm initiated","Press Release","Online to customers in AE, AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, GU, HI, IL, IN, JK, KS, KY, LA, MA, MD, MI, MN, MO, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV, & WY.","F-0026-2019","Class II","Ube Cookies & Cream (cookies);  A Sarap Asian Fusion Product;  NET WT. 65 G/Cookie;    Contains: Flour, eggs, Baking Soda, Baking Powder, Milk Powder, White Sugar, Brown Sugar, Salt, Butter, Ube, Vanilla extract, cookies & cream chocolate.    MFG at 12042 West St. Garden Grove, CA 92840","unknown","Undeclared wheat, soy lecithin, and milk","09/12/2018","10/10/2018","12/12/2018","10/17/2018","not yet provided"
"Drugs","No","","81028","Ongoing","Pfizer Inc.","235 E 42nd St","","New York","NY","	10017-5703","United States","Voluntary: Firm initiated","Letter","Nationwide","D-0010-2019","Class II","Glipizide XL (glipizide) extended-release tablets 5 mg 500-tablet bottle, Rx only Distributed by: Greenstone LLC. Peapack, NJ 07977 --- NDC 59762-0541-2","7777 bottles","CGMP Deviations; rejected product was used to manufacture final bulk lot","09/20/2018","10/09/2018","","10/17/2018","Lot: T71137 Exp. Feb. 2022"
