Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Veterinary","No","08/22/2019","80582","Terminated","Gilman Cooperative Creamery Association","9920 115th Street NE","","Gilman","MN","	56333","United States","Voluntary: Firm initiated","Telephone","MN","V-0223-2019","Class I","Blend 985 Horse Mix Start","2,000 lbs.","Horse Feed may contain Monensin residue","06/15/2018","08/22/2019","09/10/2019","02/27/2019","Ticket # 445"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0960-2019","Class II","Block and Barrel Imperial CHEESE CHEDDAR X SHARP LOAF YW 2/5 LB cases","86cs/2/5 LB blocks","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #2818673"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0961-2019","Class II","MACYS CHEESE CHEESE STX CHD SCALLION  ","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1633884"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0962-2019","Class II","SOMRDAL CHEESE CREAM DEVON INST","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #7713738"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0963-2019","Class II","SMITHFIELD CHEESE CREAM","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #5038674"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0964-2019","Class II","Block and Barrel Imperial CHEESE CUBE CHED/SWISS/PEP JCK 3/5 lb blocks","25cs/3/5 lb blocks","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1323939"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0965-2019","Class II","Pegasus CHEESE FETA CRUMBLE 2/5 lb blocks","31cs/2/5 lb blocks","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1573654"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0966-2019","Class II","TAYFRMS CHEESE FONTINA SLICE 1 OZ","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #8125506"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0967-2019","Class II","Societe CHEESE FRCH ROQUEFORT HALF WHL","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #4013528"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0968-2019","Class II","Cocina CHEESE FRESCO QUESO 10# case","5cs/10 lb blocks","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1836796"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0969-2019","Class II","Block and Barrel Imperial CHEESE GOAT CRUMBLE TRAY PK 1 lb blocks","81cs/6/1 lb blocks","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1142381"
