Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Biologics","No","","75437","Terminated","Indiana Blood Center","3450 N Meridian St","","Indianapolis","IN","	46208-4437","United States","Voluntary: Firm initiated","FAX","Indiana; Pennsylvania; Austria; Florida","B-0088-2017","Class II","Cryoprecipitated AHF","1 unit","Blood products, in which donor screening/deferral screening not done or incorrectly performed, including incorrect ID used during search,prior deferral due to testing were distributed.","10/04/2016","11/01/2016","11/01/2016","11/09/2016","W040711134961;"
"Biologics","No","","75437","Terminated","Indiana Blood Center","3450 N Meridian St","","Indianapolis","IN","	46208-4437","United States","Voluntary: Firm initiated","FAX","Indiana; Pennsylvania; Austria; Florida","B-0089-2017","Class II","Pooled Cryoprecipitated AHF","1 unit","Blood products, in which donor screening/deferral screening not done or incorrectly performed, including incorrect ID used during search,prior deferral due to testing were distributed.","10/04/2016","11/01/2016","11/01/2016","11/09/2016","W040710322589;"
"Biologics","No","","75437","Terminated","Indiana Blood Center","3450 N Meridian St","","Indianapolis","IN","	46208-4437","United States","Voluntary: Firm initiated","FAX","Indiana; Pennsylvania; Austria; Florida","B-0090-2017","Class II","Red Blood Cells, Leukocytes Reduced","4 units","Blood products, in which donor screening/deferral screening not done or incorrectly performed, including incorrect ID used during search,prior deferral due to testing were distributed.","10/04/2016","11/01/2016","11/01/2016","11/09/2016","W040711134961; W040710466569; W040710139033; W040709530775;"
"Biologics","No","","75438","Terminated","Belle Bonfils Memorial Blood Center","717 Yosemite St","","Denver","CO","	80230-6918","United States","Voluntary: Firm initiated","FAX","California; Switzerland","B-0092-2017","Class II","Red Blood Cells, Leukocytes Reduced","1 unit","Blood products, collected from a donor who was at risk for variant Creutzfeldt-Jakob disease (vCJD), were distributed.","08/29/2016","11/01/2016","11/01/2016","11/09/2016","W036215514944;"
"Biologics","No","","75438","Terminated","Belle Bonfils Memorial Blood Center","717 Yosemite St","","Denver","CO","	80230-6918","United States","Voluntary: Firm initiated","FAX","California; Switzerland","B-0093-2017","Class II","Blood and Blood Products for Reprocessing","1 unit","Blood products, collected from a donor who was at risk for variant Creutzfeldt-Jakob disease (vCJD), were distributed","08/29/2016","11/01/2016","11/01/2016","11/09/2016","W036215514944;"
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0333-2017","Class II","Guider Softip XF;  GUIDER/40DEG XF/7FR/90CM, Model number: H965100430 .    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.  ","1478 devices, all models and lot numbers.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lots 18709130,  18709234, 18709643, 18774858, 18775292;  Expiration 12/31/2019.  Lots 18785727, 18785933, 18849986; Expiration 01/31/2019."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0334-2017","Class II","Guider Softip XF;  GUIDER/MP XF/8FR/100 cm, Model number: M003101480.    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices total, all model numbers and lots.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lot 18713574. Expiration 11/30/18.  Lot s18849984, 18848795.  Expiration 01/31/19."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0335-2017","Class II","Guider Softip XF;  GUIDER/MP XF/7FR/90CM, Model number: H965100470.    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lots 18713978, 18714267,18716054. Expiration 12/31/2018.  Lots 18786405, 18786441, Expiration date -1/31/2019"
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0336-2017","Class II","Guider Softip XF;  GUIDER/MP XF/6FR/90CM, Model number: H965100460.    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lots: 18716056 , 18752458, 18752804. Expiration 12/31/18."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0337-2017","Class II","Guider Softip XF;  GUIDER/ST XF/8FR/90CM, Model number: H965100520.    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lot 18725364,  Expiration 12/31/18.  Lot 18904600, Expiration 02/28/2019."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0338-2017","Class II","Guider Softip XF;  GUIDER/40DEG XF/6FR/90CM, Model number: H965100420.    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lot s: 18725976,  18726252, 18726453. Expiration 12/31/18.  Lot: 18771999, Expiration 01/31/2019.  Lot 19022528, Expiration 03/31/2019."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0339-2017","Class II","Guider Softip XF;  GUIDER MPXF 5F 100CM, Model number: M003101630.    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lot  18753510; Expiration 12/31/18.  Lot 18847876, Expiration 01/31/2019."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0340-2017","Class II","Guider Softip XF;  GUIDER/40 DEG XF/6FR/100 cm, Model number: M003101420.    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lot s 18771332, 18771915;  Expiration 12/31/18.  Lot s18903165, 18928715;  Expiration 01/31/2019."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0341-2017","Class II","Guider Softip XF;  GUIDER/40XF/8FR/90CM, Model number: H965100440 .    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lots  18775812, 18775993 ;  Expiration 01/31/19.  Lot 18904219, Expiration 02/28/2019;  Lots 19025649,  19025651.  Expiration 03/31/2019."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0342-2017","Class II","Guider Softip XF;  GUIDER/40 DEG XF/7FR/100 cm, Model number: M003101430 .    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lot 18786335, 18790229, 18790450. Expiration 12/31/2018.  Lot 18851082. Expiration 1/31/2019."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0343-2017","Class II","Guider Softip XF;  GUIDER/ST XF/6FR/100 cm, Model number:M003101500 .    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lots 18829078, 18831032, 18831033. Expiration 1/31/2019."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0344-2017","Class II","Guider Softip XF;  GUIDER MPXF 5F 90CM, Model number: M003100630.    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lots 18845284,  18845814. Expiration 1/31/2019."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0345-2017","Class II","Guider Softip XF;  GUIDER STRAIGHT XF 5F 90CM, Model number: .  M003100640.  Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lot 18846232. Expiration 1/31/2019."
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0346-2017","Class II","Guider Softip XF;  GUIDER STRAIGHT XF 5F 100CM, Model number: M003101640.  Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lot 18903166,  Expiration .2/28/2019"
"Devices","No","","75447","Terminated","Stryker Neurovascular","47900 Bayside Pkwy","","Fremont","CA","	94538-6515","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - US including AK, IL, OH and Internationally to:  ARGENTINA  AUSTRALIA  AUSTRIA  BELGIUM  BRAZIL  CANADA  CHILE  CZECH REPUBLIC  ECUADOR  EGYPT  FRANCE  GERMANY  GREECE  HUNGARY  INDIA  IRAN  ISRAEL  ITALIA  JAPAN  MEXICO  NETHERLANDS  NORWAY  PERU  PHILIPPINES  POLAND  RUSSIA  SERBIA  SINGAPORE  SLOVAKIA  SOUTH AFRICA  SOUTH KOREA  SPAIN  SWEDEN  SWITZERLAND  THAILAND  TUNISIA  TURKEY  UK  URUGUAY  VIETNAM.","Z-0347-2017","Class II","Guider Softip XF;  GUIDER 40XF 5F 90CM, Model number:M003100620 .    Cardiology:   Boston Scientific Guider Softip XF Guide Catheters are intended to facilitate the  placement of interventional devices into the neurovascular system.","1478 devices, all models and lot numbers.","Firm became aware of potentially defective Guider Guide Catheters due to a manufacturing non-conformance that could lead to hub leaks in the resulting product.","10/05/2016","11/02/2016","03/23/2017","11/09/2016","Lots 18932470, 18932472.  Expiration .2/28/2019"
